onboarding_id,customer_id,stage,start_date,completion_date,completed,days_to_complete,blocker
ONB0001,CUST0001,Go-Live,2023-07-18,2023-08-11,True,24.0,None
ONB0002,CUST0002,Go-Live,2024-10-31,2024-11-20,True,20.0,None
ONB0003,CUST0003,Go-Live,2023-07-24,2023-09-08,True,46.0,None
ONB0004,CUST0004,User Training,2022-07-18,,False,,Integration complexity
ONB0005,CUST0005,Go-Live,2022-09-13,2022-10-30,True,47.0,None
ONB0006,CUST0006,Go-Live,2022-05-23,2022-07-11,True,49.0,None
ONB0007,CUST0007,Go-Live,2024-07-17,2024-09-06,True,51.0,None
ONB0008,CUST0008,Integration Config,2024-12-29,,False,,Integration complexity
ONB0009,CUST0009,User Training,2023-03-26,,False,,Data quality issues
ONB0010,CUST0010,Go-Live,2025-03-07,2025-04-21,True,45.0,None
ONB0011,CUST0011,Go-Live,2023-06-27,2023-07-22,True,25.0,None
ONB0012,CUST0012,Go-Live,2022-10-11,2022-12-01,True,51.0,None
ONB0013,CUST0013,Go-Live,2024-05-14,2024-06-15,True,32.0,None
ONB0014,CUST0014,Go-Live,2022-08-23,2022-09-28,True,36.0,None
ONB0015,CUST0015,Go-Live,2024-07-18,2024-08-01,True,14.0,None
ONB0016,CUST0016,Go-Live,2024-11-05,2024-12-17,True,42.0,None
ONB0017,CUST0017,Account Setup,2025-05-11,,False,,Integration complexity
ONB0018,CUST0018,Go-Live,2025-03-07,2025-03-23,True,16.0,None
ONB0019,CUST0019,Data Migration,2024-08-31,,False,,IT approval delay
ONB0020,CUST0020,Go-Live,2023-02-16,2023-03-15,True,27.0,None
ONB0021,CUST0021,Go-Live,2023-04-06,2023-05-01,True,25.0,None
ONB0022,CUST0022,Go-Live,2022-05-19,2022-07-11,True,53.0,None
ONB0023,CUST0023,Go-Live,2023-03-15,2023-04-23,True,39.0,None
ONB0024,CUST0024,Account Setup,2024-06-01,,False,,Data quality issues
ONB0025,CUST0025,Go-Live,2023-11-26,2024-01-11,True,46.0,None
ONB0026,CUST0026,Go-Live,2023-05-27,2023-06-21,True,25.0,None
ONB0027,CUST0027,Go-Live,2025-01-12,2025-03-02,True,49.0,None
ONB0028,CUST0028,Go-Live,2022-01-05,,False,,Resource constraints
ONB0029,CUST0029,Go-Live,2025-02-12,2025-04-05,True,52.0,None
ONB0030,CUST0030,Go-Live,2023-10-05,2023-10-29,True,24.0,None
ONB0031,CUST0031,Go-Live,2022-06-14,2022-07-14,True,30.0,None
ONB0032,CUST0032,Go-Live,2025-05-02,2025-05-19,True,17.0,None
ONB0033,CUST0033,Go-Live,2023-02-23,2023-04-10,True,46.0,None
ONB0034,CUST0034,Go-Live,2022-05-29,2022-07-08,True,40.0,None
ONB0035,CUST0035,Go-Live,2022-09-29,2022-11-22,True,54.0,None
ONB0036,CUST0036,Go-Live,2024-12-19,2025-01-06,True,18.0,None
ONB0037,CUST0037,Go-Live,2025-02-07,2025-03-03,True,24.0,None
ONB0038,CUST0038,Go-Live,2022-04-15,2022-05-15,True,30.0,None
ONB0039,CUST0039,Go-Live,2023-06-21,2023-08-11,True,51.0,None
ONB0040,CUST0040,Go-Live,2024-01-27,2024-02-13,True,17.0,None
ONB0041,CUST0041,Go-Live,2022-03-23,2022-05-19,True,57.0,None
ONB0042,CUST0042,Go-Live,2023-04-30,2023-05-22,True,22.0,None
ONB0043,CUST0043,Go-Live,2024-04-23,2024-06-13,True,51.0,None
ONB0044,CUST0044,Go-Live,2024-07-31,2024-09-09,True,40.0,None
ONB0045,CUST0045,Go-Live,2022-05-23,2022-07-20,True,58.0,None
ONB0046,CUST0046,Go-Live,2022-08-25,2022-09-29,True,35.0,None
ONB0047,CUST0047,Go-Live,2024-06-08,2024-07-11,True,33.0,None
