customer_id,company_name,industry,plan_type,mrr,region,company_size,contract_start,churn_date,status,health_score,nps_score
CUST0001,"Carroll, Murphy and Moreno",Retail,Enterprise,5889.65,North America,1000+,2023-07-18,,Active,92.7,6
CUST0002,Wilson and Sons,Technology,Starter,342.73,Europe,1000+,2024-10-31,,Active,88.5,9
CUST0003,"Mathis, Richards and Martinez",Healthcare,Starter,388.84,Europe,501-1000,2023-07-24,,Active,78.3,8
CUST0004,"Jordan, Gillespie and Campos",Logistics,Starter,317.55,Middle East,201-500,2022-07-18,,Active,87.9,6
CUST0005,Simpson-Bryant,Real Estate,Enterprise,8674.4,North America,1000+,2022-09-13,,Active,77.5,8
CUST0006,Manning Inc,Education,Enterprise,6537.31,North America,51-200,2022-05-23,2023-02-10,Churned,84.3,6
CUST0007,"Rangel, Nelson and Daniels",Logistics,Starter,375.03,Europe,201-500,2024-07-17,,Active,71.0,6
CUST0008,Baxter Group,Retail,Enterprise,10078.83,Latin America,501-1000,2024-12-29,,Active,96.1,8
CUST0009,King and Sons,Healthcare,Enterprise,10504.3,Europe,1-50,2023-03-26,,Active,86.1,6
CUST0010,Brooks Inc,Logistics,Starter,481.63,Europe,501-1000,2025-03-07,,Active,70.6,9
CUST0011,"Boyd, White and Thomas",Technology,Enterprise,8669.81,Asia Pacific,1000+,2023-06-27,2025-02-20,Churned,53.7,2
CUST0012,Edwards-Wilson,Finance,Starter,498.47,North America,1-50,2022-10-11,,Active,88.9,7
CUST0013,"Bailey, Bailey and Obrien",Real Estate,Enterprise,6278.86,Latin America,1000+,2024-05-14,,Active,96.7,10
CUST0014,Chen-Gill,Technology,Starter,435.06,Asia Pacific,201-500,2022-08-23,,Active,81.6,6
CUST0015,Compton and Sons,Education,Growth,1651.15,Middle East,51-200,2024-07-18,2025-08-21,Churned,62.3,5
CUST0016,"Jones, Taylor and Park",Retail,Growth,2261.5,Asia Pacific,51-200,2024-11-05,,Active,81.7,10
CUST0017,Thomas Inc,Healthcare,Enterprise,12346.95,North America,201-500,2025-05-11,,Active,98.4,8
CUST0018,"Brown, Rodriguez and Stephens",Finance,Starter,310.59,Latin America,1-50,2025-03-07,,Active,66.4,10
CUST0019,Coleman-Levy,Retail,Starter,324.68,Asia Pacific,1000+,2024-08-31,,Active,90.8,7
CUST0020,Schmidt-Lewis,Real Estate,Enterprise,11041.12,Asia Pacific,501-1000,2023-02-16,,Active,73.0,10
CUST0021,"Hutchinson, Garcia and Sharp",Consulting,Growth,1180.51,Middle East,51-200,2023-04-06,2023-05-27,Churned,66.8,5
CUST0022,"Pineda, Brandt and Freeman",Logistics,Enterprise,5469.99,North America,1000+,2022-05-19,,Active,81.2,7
CUST0023,Gonzalez-Arroyo,Consulting,Growth,2002.47,Middle East,501-1000,2023-03-15,,Active,82.6,9
CUST0024,"Swanson, Miles and Johnson",Real Estate,Starter,317.87,Latin America,1-50,2024-06-01,,Active,95.6,6
