ticket_id,customer_id,category,priority,status,created_date,resolved_date,resolution_time_hours,satisfaction_score,description
TKT00001,CUST0378,Feature Request,Critical,Resolved,2025-11-07,2025-11-07,7.5,,We'd love a Slack integration for real-time alerts.
TKT00002,CUST0387,Performance,Low,In Progress,2025-05-26,2025-05-27,47.0,4.0,API response times have increased significantly this week.
TKT00003,CUST0142,Billing,Medium,Resolved,2022-11-22,2022-11-22,17.8,3.0,The upgrade price shown in the app is different from what I was charged.
TKT00004,CUST0330,Feature Request,Medium,Resolved,2024-02-11,2024-02-13,58.7,2.0,We need custom date range filters in the reports section.
TKT00005,CUST0247,Feature Request,High,Resolved,2023-03-06,2023-03-06,4.2,3.0,We'd love a Slack integration for real-time alerts.
TKT00006,CUST0094,Account Management,Medium,Resolved,2025-09-07,2025-09-10,74.7,1.0,We'd like to upgrade from Growth to Enterprise plan.
TKT00007,CUST0416,Integration,High,In Progress,2022-07-04,2022-07-04,12.3,4.0,Zapier connection keeps timing out.
TKT00008,CUST0422,Feature Request,High,In Progress,2025-02-27,2025-02-27,8.9,5.0,We'd love a Slack integration for real-time alerts.
TKT00009,CUST0476,Technical Issue,Low,Resolved,2024-07-31,2024-08-03,76.2,,Login page throws an error when using SSO.
TKT00010,CUST0320,Integration,High,Resolved,2022-02-25,2022-02-26,37.7,2.0,We need help setting up the webhook for order updates.
TKT00011,CUST0294,Billing,Low,Resolved,2024-05-27,2024-05-28,46.8,,Can you clarify the pricing for adding more users?
TKT00012,CUST0230,Billing,Medium,Resolved,2025-02-04,2025-02-04,19.2,4.0,Can you clarify the pricing for adding more users?
TKT00013,CUST0133,Billing,Medium,Resolved,2024-06-30,2024-07-01,24.8,3.0,Can you clarify the pricing for adding more users?
TKT00014,CUST0420,Account Management,Medium,Resolved,2025-07-02,2025-07-03,35.4,5.0,Can we change the primary account admin?
TKT00015,CUST0034,Feature Request,Medium,Resolved,2023-10-19,2023-10-20,44.4,,Would be great to have a mobile app version.
TKT00016,CUST0262,Integration,High,Resolved,2025-07-08,2025-07-08,16.9,2.0,HubSpot integration is duplicating records.
TKT00017,CUST0263,Onboarding,Medium,Resolved,2024-12-11,2024-12-11,8.9,,We are stuck on the data migration step — need guidance.
TKT00018,CUST0205,Billing,Low,In Progress,2025-04-30,2025-05-02,52.7,,I was charged twice this month for my subscription.
TKT00019,CUST0403,Performance,Medium,Resolved,2025-07-18,2025-07-19,42.0,5.0,API response times have increased significantly this week.
TKT00020,CUST0476,Integration,Medium,Resolved,2025-01-10,2025-01-11,28.9,5.0,The Salesforce integration is not syncing contacts properly.
TKT00021,CUST0069,Account Management,High,Resolved,2025-08-21,2025-08-21,20.2,,Please help us set up SSO for our organization.
TKT00022,CUST0390,Account Management,Critical,Resolved,2022-03-17,2022-03-17,11.4,,We need to update our billing contact information.
TKT00023,CUST0247,Account Management,Low,Resolved,2025-02-10,2025-02-11,34.4,3.0,Can we change the primary account admin?
TKT00024,CUST0362,Integration,Medium,Resolved,2024-06-13,2024-06-14,34.5,4.0,The Salesforce integration is not syncing contacts properly.
TKT00025,CUST0162,Billing,Medium,Escalated,2023-11-03,2023-11-04,26.4,5.0,My invoice doesn't match the amount on my credit card.
TKT00026,CUST0098,Feature Request,Medium,Open,2024-07-02,2024-07-02,13.6,2.0,We'd love a Slack integration for real-time alerts.
TKT00027,CUST0431,Account Management,Medium,Resolved,2023-03-23,2023-03-23,19.2,1.0,We'd like to upgrade from Growth to Enterprise plan.
TKT00028,CUST0464,Billing,Medium,Resolved,2025-08-11,2025-08-11,11.7,5.0,My invoice doesn't match the amount on my credit card.
TKT00029,CUST0364,Account Management,Low,Resolved,2022-04-02,2022-04-03,46.4,5.0,Can we change the primary account admin?
TKT00030,CUST0040,Feature Request,Low,Open,2024-09-16,2024-09-19,92.5,5.0,We'd love a Slack integration for real-time alerts.
TKT00031,CUST0480,Technical Issue,Critical,Escalated,2023-10-23,2023-10-23,11.1,,Notifications are not being delivered to our team emails.
TKT00032,CUST0059,Feature Request,Medium,Resolved,2024-03-16,2024-03-18,65.2,1.0,We'd love a Slack integration for real-time alerts.
TKT00033,CUST0225,Account Management,Medium,Resolved,2024-07-03,2024-07-04,29.5,3.0,Can we change the primary account admin?
TKT00034,CUST0155,Account Management,High,Escalated,2023-07-01,2023-07-01,9.9,4.0,Please help us set up SSO for our organization.
TKT00035,CUST0295,Account Management,Low,In Progress,2023-04-20,2023-04-23,83.0,4.0,We'd like to upgrade from Growth to Enterprise plan.
TKT00036,CUST0034,Onboarding,Low,Resolved,2022-10-03,2022-10-07,109.0,4.0,We need help setting up user roles and permissions.
TKT00037,CUST0445,Billing,Medium,In Progress,2024-10-17,2024-10-18,36.2,2.0,Can you clarify the pricing for adding more users?
TKT00038,CUST0343,Technical Issue,Medium,Open,2023-04-24,2023-04-24,12.2,5.0,Our data sync stopped working after the last update.
TKT00039,CUST0070,Integration,High,Resolved,2023-11-10,2023-11-10,14.3,5.0,Our API key stopped working after a password reset.
TKT00040,CUST0421,Technical Issue,Low,Resolved,2023-09-07,2023-09-08,30.5,5.0,Export to CSV is producing empty files.
TKT00041,CUST0178,Performance,Medium,In Progress,2025-01-05,2025-01-06,28.6,4.0,Reports are taking over 2 minutes to load.
TKT00042,CUST0467,Technical Issue,Low,Open,2024-02-27,2024-03-03,135.9,4.0,Our data sync stopped working after the last update.
TKT00043,CUST0177,Performance,Medium,Resolved,2024-01-01,2024-01-02,29.8,5.0,Dashboard charts lag when we have more than 5 filters active.
TKT00044,CUST0478,Integration,Low,Resolved,2022-05-11,2022-05-13,55.8,3.0,Zapier connection keeps timing out.
TKT00045,CUST0341,Billing,Medium,Resolved,2025-02-04,2025-02-04,17.4,3.0,I was charged twice this month for my subscription.
TKT00046,CUST0391,Feature Request,High,Resolved,2025-09-29,2025-09-29,20.1,1.0,Would be great to have a mobile app version.
TKT00047,CUST0288,Technical Issue,Medium,In Progress,2024-07-10,2024-07-10,19.5,3.0,Notifications are not being delivered to our team emails.
TKT00048,CUST0441,Technical Issue,Medium,In Progress,2023-08-15,2023-08-17,55.3,2.0,The dashboard is not loading — getting a 504 error.
TKT00049,CUST0218,Account Management,Medium,Resolved,2022-03-02,2022-03-03,31.0,4.0,Can we change the primary account admin?
TKT00050,CUST0457,Technical Issue,Medium,Resolved,2024-07-15,2024-07-16,26.4,4.0,Login page throws an error when using SSO.
TKT00051,CUST0488,Billing,Low,In Progress,2023-10-04,2023-10-07,77.8,4.0,My invoice doesn't match the amount on my credit card.
TKT00052,CUST0472,Billing,Low,Resolved,2022-09-20,2022-09-21,33.6,3.0,Requesting a refund for unused seats on our plan.
TKT00053,CUST0279,Billing,Low,In Progress,2023-03-04,2023-03-07,76.2,5.0,My invoice doesn't match the amount on my credit card.
TKT00054,CUST0250,Feature Request,Medium,Resolved,2022-02-03,2022-02-03,11.8,5.0,We'd love a Slack integration for real-time alerts.
TKT00055,CUST0326,Feature Request,Low,Resolved,2024-04-06,2024-04-08,52.3,,Would be great to have a mobile app version.
TKT00056,CUST0126,Account Management,High,In Progress,2022-05-09,2022-05-09,19.3,3.0,Please help us set up SSO for our organization.
