transaction_id,customer_id,amount,transaction_date,transaction_type,status,payment_method
TXN00001,CUST0001,5748.06,2024-12-12,Renewal,Completed,Wire Transfer
TXN00002,CUST0001,5152.04,2024-02-19,Renewal,Completed,Credit Card
TXN00003,CUST0001,5688.49,2025-05-24,Renewal,Completed,Credit Card
TXN00004,CUST0001,-1436.08,2024-11-22,Refund,Completed,ACH
TXN00005,CUST0002,280.1,2024-11-11,Renewal,Completed,ACH
TXN00006,CUST0002,-112.22,2025-01-07,Refund,Pending,ACH
TXN00007,CUST0002,309.59,2024-11-28,Renewal,Completed,Invoice
TXN00008,CUST0002,361.6,2025-09-02,One-time Add-on,Completed,Wire Transfer
TXN00009,CUST0002,335.77,2024-12-13,Renewal,Failed,Invoice
TXN00010,CUST0002,388.02,2025-01-26,Renewal,Completed,ACH
TXN00011,CUST0002,-111.99,2025-09-15,Refund,Completed,Wire Transfer
TXN00012,CUST0002,355.15,2025-06-20,One-time Add-on,Completed,Invoice
TXN00013,CUST0002,276.45,2025-01-06,Subscription,Completed,Invoice
TXN00014,CUST0002,357.19,2025-12-28,Renewal,Completed,Credit Card
TXN00015,CUST0003,325.57,2024-12-20,Subscription,Completed,Credit Card
TXN00016,CUST0003,-143.76,2025-09-24,Refund,Completed,Wire Transfer
TXN00017,CUST0003,-126.52,2023-09-06,Refund,Completed,Invoice
TXN00018,CUST0003,-53.52,2025-10-09,Downgrade,Completed,Credit Card
TXN00019,CUST0003,350.66,2024-10-01,Renewal,Completed,Credit Card
TXN00020,CUST0003,447.44,2024-05-09,One-time Add-on,Completed,ACH
TXN00021,CUST0003,-157.4,2023-07-29,Refund,Completed,Credit Card
TXN00022,CUST0003,369.4,2025-01-06,Subscription,Completed,Wire Transfer
TXN00023,CUST0003,55.46,2024-09-14,Upgrade,Completed,Wire Transfer
TXN00024,CUST0003,376.95,2024-04-16,One-time Add-on,Completed,Wire Transfer
TXN00025,CUST0003,-92.83,2025-06-19,Downgrade,Completed,Invoice
TXN00026,CUST0003,125.84,2024-01-23,Upgrade,Completed,Wire Transfer
TXN00027,CUST0004,-65.02,2024-10-10,Refund,Completed,Credit Card
TXN00028,CUST0004,-78.05,2023-10-31,Downgrade,Pending,Credit Card
TXN00029,CUST0004,304.92,2023-09-30,One-time Add-on,Completed,Credit Card
TXN00030,CUST0004,-92.45,2023-06-12,Downgrade,Completed,Credit Card
TXN00031,CUST0004,-89.38,2023-05-11,Downgrade,Completed,Credit Card
TXN00032,CUST0004,301.14,2024-01-07,Renewal,Completed,Invoice
TXN00033,CUST0004,337.39,2024-10-15,One-time Add-on,Completed,Credit Card
TXN00034,CUST0004,-103.77,2023-07-11,Refund,Completed,Wire Transfer
TXN00035,CUST0004,353.62,2023-08-20,Subscription,Completed,ACH
TXN00036,CUST0005,1697.6,2022-11-25,Upgrade,Completed,ACH
TXN00037,CUST0005,3572.72,2023-03-09,Upgrade,Completed,Invoice
TXN00038,CUST0005,7634.55,2024-12-21,One-time Add-on,Completed,Credit Card
TXN00039,CUST0005,7926.65,2023-03-16,One-time Add-on,Completed,Wire Transfer
TXN00040,CUST0005,1652.63,2024-08-24,Upgrade,Failed,Invoice
TXN00041,CUST0005,6955.66,2024-12-18,One-time Add-on,Completed,Credit Card
TXN00042,CUST0006,5999.29,2022-06-29,One-time Add-on,Pending,Wire Transfer
TXN00043,CUST0006,-1475.12,2022-09-28,Refund,Completed,Invoice
TXN00044,CUST0006,3167.3,2022-09-24,Upgrade,Completed,Invoice
TXN00045,CUST0006,-516.89,2022-06-06,Downgrade,Completed,ACH
TXN00046,CUST0006,1732.19,2022-09-17,Upgrade,Completed,Credit Card
TXN00047,CUST0006,5981.09,2022-10-04,Renewal,Completed,Wire Transfer
TXN00048,CUST0006,7665.38,2022-06-30,One-time Add-on,Completed,Wire Transfer
TXN00049,CUST0006,5933.46,2022-09-11,One-time Add-on,Pending,ACH
TXN00050,CUST0006,-692.66,2023-02-02,Refund,Completed,Wire Transfer
TXN00051,CUST0006,5760.07,2022-09-05,Renewal,Completed,Wire Transfer
TXN00052,CUST0006,5543.32,2022-08-10,Subscription,Completed,Invoice
TXN00053,CUST0006,7734.93,2022-05-26,One-time Add-on,Completed,Wire Transfer
TXN00054,CUST0007,430.35,2025-12-03,One-time Add-on,Completed,Wire Transfer
TXN00055,CUST0007,412.56,2025-08-28,Renewal,Completed,Invoice
TXN00056,CUST0007,304.91,2025-11-18,One-time Add-on,Completed,ACH
TXN00057,CUST0007,404.77,2025-10-28,Subscription,Completed,Credit Card
TXN00058,CUST0007,-78.98,2024-07-29,Refund,Completed,Wire Transfer
TXN00059,CUST0007,429.31,2025-07-22,One-time Add-on,Completed,Wire Transfer
TXN00060,CUST0007,108.21,2025-03-16,Upgrade,Completed,Wire Transfer
TXN00061,CUST0007,-58.5,2025-01-21,Downgrade,Completed,Wire Transfer
TXN00062,CUST0007,-44.97,2025-07-25,Downgrade,Completed,ACH
TXN00063,CUST0008,-1396.89,2025-02-18,Refund,Completed,Invoice
TXN00064,CUST0008,8651.04,2025-07-12,Renewal,Pending,ACH
TXN00065,CUST0008,8775.06,2025-08-28,Subscription,Completed,Wire Transfer
TXN00066,CUST0008,2019.69,2025-09-04,Upgrade,Completed,Credit Card
TXN00067,CUST0008,10847.01,2025-07-20,Subscription,Completed,Wire Transfer
TXN00068,CUST0008,-530.49,2025-08-29,Refund,Completed,Wire Transfer
TXN00069,CUST0008,3266.95,2025-07-01,Upgrade,Pending,Wire Transfer
TXN00070,CUST0009,-843.59,2023-04-15,Downgrade,Completed,ACH
TXN00071,CUST0009,11133.99,2024-11-05,One-time Add-on,Completed,Wire Transfer
TXN00072,CUST0009,3879.0,2024-03-23,Upgrade,Completed,Invoice
TXN00073,CUST0009,10004.59,2025-09-21,Subscription,Completed,ACH
TXN00074,CUST0009,11094.98,2025-08-31,Renewal,Pending,Invoice
TXN00075,CUST0009,10805.3,2024-12-31,One-time Add-on,Completed,Credit Card
TXN00076,CUST0009,9847.26,2023-06-15,Renewal,Completed,Wire Transfer
TXN00077,CUST0009,3594.09,2025-03-22,Upgrade,Completed,Invoice
TXN00078,CUST0009,4192.88,2025-06-02,Upgrade,Completed,Invoice
TXN00079,CUST0010,549.87,2025-05-31,Renewal,Completed,ACH
TXN00080,CUST0010,-183.7,2025-07-13,Refund,Completed,ACH
TXN00081,CUST0010,403.71,2025-09-26,Subscription,Pending,Invoice
TXN00082,CUST0010,390.38,2025-12-12,Subscription,Completed,Credit Card
TXN00083,CUST0010,167.24,2025-04-29,Upgrade,Completed,Invoice
TXN00084,CUST0010,432.97,2025-08-12,Renewal,Completed,ACH
TXN00085,CUST0010,546.85,2025-05-13,One-time Add-on,Completed,Wire Transfer
TXN00086,CUST0010,-80.34,2025-08-20,Downgrade,Completed,Wire Transfer
TXN00087,CUST0010,-40.35,2025-12-12,Downgrade,Pending,ACH
TXN00088,CUST0010,-192.9,2025-10-26,Refund,Completed,Invoice
TXN00089,CUST0011,4019.06,2024-12-24,Upgrade,Completed,ACH
TXN00090,CUST0011,-1100.78,2023-09-26,Downgrade,Completed,ACH
TXN00091,CUST0011,6936.17,2024-05-02,Subscription,Completed,ACH
TXN00092,CUST0011,2494.12,2024-06-13,Upgrade,Completed,Invoice
TXN00093,CUST0011,898.65,2024-10-27,Upgrade,Completed,Wire Transfer
TXN00094,CUST0011,8837.01,2024-02-18,Subscription,Completed,Invoice
TXN00095,CUST0011,7502.05,2024-08-04,Renewal,Completed,Invoice
TXN00096,CUST0011,7847.84,2024-07-18,Renewal,Completed,ACH
TXN00097,CUST0011,9736.46,2024-12-07,One-time Add-on,Completed,Wire Transfer
TXN00098,CUST0011,2298.9,2024-12-22,Upgrade,Completed,ACH
TXN00099,CUST0011,1249.69,2023-11-13,Upgrade,Completed,Invoice
TXN00100,CUST0011,-2718.44,2024-03-31,Refund,Completed,Credit Card
TXN00101,CUST0012,403.19,2023-01-20,One-time Add-on,Failed,Wire Transfer
TXN00102,CUST0012,541.38,2024-04-14,Renewal,Completed,ACH
TXN00103,CUST0012,401.71,2023-04-13,Renewal,Completed,Invoice
TXN00104,CUST0012,-149.29,2024-07-10,Downgrade,Completed,Credit Card
TXN00105,CUST0012,566.97,2024-08-17,Subscription,Pending,Credit Card
TXN00106,CUST0012,-33.82,2024-04-08,Downgrade,Completed,ACH
TXN00107,CUST0013,5329.4,2025-06-08,Subscription,Completed,ACH
TXN00108,CUST0013,-701.92,2025-06-12,Downgrade,Failed,ACH
TXN00109,CUST0013,-2431.94,2025-08-28,Refund,Completed,ACH
TXN00110,CUST0013,-1383.61,2025-09-10,Downgrade,Completed,Wire Transfer
TXN00111,CUST0013,-2299.84,2024-10-23,Refund,Completed,Credit Card
TXN00112,CUST0013,-1316.24,2025-01-28,Downgrade,Completed,Credit Card
TXN00113,CUST0013,5615.73,2024-12-23,Subscription,Completed,Credit Card
TXN00114,CUST0013,2096.38,2024-11-01,Upgrade,Completed,ACH
TXN00115,CUST0014,484.39,2022-11-17,One-time Add-on,Completed,ACH
TXN00116,CUST0014,391.33,2024-09-21,Subscription,Completed,Wire Transfer
TXN00117,CUST0014,409.92,2022-12-23,Subscription,Completed,Credit Card
