usage_id,customer_id,usage_date,feature,session_minutes,actions_count
USG00001,CUST0469,2022-07-08,Reporting,2.8,5
USG00002,CUST0142,2022-06-01,API Access,19.2,18
USG00003,CUST0017,2024-11-05,API Access,1.5,50
USG00004,CUST0400,2022-03-07,API Access,6.2,14
USG00005,CUST0112,2025-10-02,API Access,3.2,30
USG00006,CUST0381,2022-01-03,Bulk Import,35.3,58
USG00007,CUST0392,2024-02-01,Reporting,17.2,6
USG00008,CUST0163,2022-11-21,Analytics,0.5,31
USG00009,CUST0227,2024-08-08,Bulk Import,24.7,31
USG00010,CUST0121,2024-08-15,User Management,38.3,40
USG00011,CUST0328,2025-07-26,Automation,1.5,8
USG00012,CUST0251,2023-03-04,Integrations,4.4,30
USG00013,CUST0423,2025-09-21,API Access,30.0,32
USG00014,CUST0346,2024-06-09,Notifications,4.8,46
USG00015,CUST0426,2025-01-06,Integrations,1.4,55
USG00016,CUST0344,2023-07-23,API Access,16.6,79
USG00017,CUST0327,2022-11-01,Integrations,5.7,12
USG00018,CUST0380,2025-10-25,Reporting,2.9,47
USG00019,CUST0422,2024-10-24,Audit Logs,13.2,79
USG00020,CUST0130,2023-02-26,Dashboard,11.7,16
USG00021,CUST0212,2022-09-19,API Access,11.3,53
USG00022,CUST0350,2022-04-30,Notifications,12.4,80
USG00023,CUST0096,2025-08-28,Integrations,33.2,39
USG00024,CUST0199,2025-12-30,API Access,6.4,61
USG00025,CUST0254,2025-05-18,Notifications,1.3,30
USG00026,CUST0282,2024-02-05,Analytics,29.0,63
USG00027,CUST0169,2025-10-11,Dashboard,2.5,21
USG00028,CUST0304,2023-08-29,API Access,16.6,55
USG00029,CUST0345,2025-03-17,User Management,61.1,68
USG00030,CUST0227,2024-11-17,Automation,22.2,2
USG00031,CUST0228,2022-01-30,Automation,35.0,72
USG00032,CUST0063,2024-10-28,Notifications,2.6,25
USG00033,CUST0066,2025-11-24,Notifications,7.8,24
USG00034,CUST0382,2022-05-26,Audit Logs,3.0,40
USG00035,CUST0144,2022-01-14,Integrations,4.8,57
USG00036,CUST0247,2024-11-23,Bulk Import,0.6,32
USG00037,CUST0337,2024-04-28,User Management,15.2,64
USG00038,CUST0029,2025-08-21,Audit Logs,31.3,75
USG00039,CUST0106,2022-01-06,Reporting,14.9,52
USG00040,CUST0041,2023-07-02,Automation,24.6,31
USG00041,CUST0267,2022-10-21,Automation,15.7,4
USG00042,CUST0133,2022-06-08,Reporting,38.6,66
USG00043,CUST0369,2025-11-06,Dashboard,58.2,6
USG00044,CUST0419,2022-10-14,Integrations,2.5,8
USG00045,CUST0279,2022-09-26,Integrations,0.8,76
USG00046,CUST0185,2024-01-06,Analytics,76.7,7
USG00047,CUST0414,2024-12-18,Dashboard,6.2,50
USG00048,CUST0055,2024-07-04,Reporting,32.5,2
USG00049,CUST0316,2023-08-09,Notifications,35.8,24
USG00050,CUST0209,2024-08-11,API Access,40.9,79
USG00051,CUST0120,2022-09-07,Notifications,3.8,6
USG00052,CUST0215,2024-05-07,API Access,1.1,52
USG00053,CUST0403,2025-07-13,Bulk Import,8.2,55
USG00054,CUST0199,2023-01-10,Notifications,53.3,26
USG00055,CUST0092,2022-02-10,Automation,31.8,45
USG00056,CUST0043,2025-11-11,User Management,41.4,44
USG00057,CUST0012,2023-02-13,Integrations,24.4,8
