Story ID,Epic,As a...,I want...,So that...,Priority,Story Points,Acceptance Criteria,Status
US-01,Customer Health,Customer Success Manager,to see a real-time composite risk score for each active customer on a single dashboard,I can immediately identify which accounts need my attention without manually pulling data from multiple sources,Must Have,8,"1. Dashboard displays risk score (0-100) for all active customers | 2. Risk score updates within 24 hours of any data change | 3. Color coding: Green (<30) / Yellow (30-50) / Red (>50) | 4. Clicking a customer row opens their detailed health profile",In Progress
US-02,Customer Health,Customer Success Manager,to receive a Slack notification when a customer's risk score increases by 15+ points in 7 days,I can proactively reach out before the customer decides to cancel,Must Have,5,"1. Slack message sent within 1 hour of threshold breach | 2. Alert includes: customer name, plan, MRR, risk score, top 3 risk factors | 3. No duplicate alerts within 24 hours for the same customer | 4. Alert links directly to customer dashboard",To Do
US-03,Onboarding,Customer Success Manager,to see which onboarding stage each new customer is currently in and how long they have been stuck there,I can intervene early when customers hit blockers instead of discovering it at the 30-day check-in,Must Have,5,"1. Onboarding tracker shows all 5 stages with current customer stage highlighted | 2. Days-in-stage counter displayed per customer | 3. Red flag shown if customer stuck in same stage > 5 business days | 4. Blocker field captured and visible to CSM",To Do
US-04,Onboarding,New Customer (End User),to receive a guided onboarding checklist with clear instructions for each step immediately after account creation,I can set up the platform independently without waiting for a CS call,Must Have,8,"1. Checklist emailed to customer admin within 1 hour of account creation | 2. Checklist contains 5 stages with description, estimated time, and required resources per stage | 3. Customer can mark steps complete from within the app | 4. Completion percentage visible on customer's home screen",To Do
US-05,Support,Support Team Lead,to view a dashboard showing open ticket volume, SLA compliance rate, and average resolution time by category in real time,I can allocate team resources proactively and prevent SLA breaches before they happen,Must Have,8,"1. Support dashboard refreshes every 15 minutes | 2. SLA breach indicator shown per ticket (green = within SLA, red = breached) | 3. Category breakdown chart shows ticket distribution and avg resolution time | 4. Escalated tickets highlighted separately",To Do
US-06,Support,Customer,to receive an automated status update when my support ticket has been assigned and when it is resolved,I know my issue is being handled without needing to follow up manually,Should Have,3,"1. Automated email sent when ticket status changes to 'In Progress' | 2. Resolution email includes summary of fix + link to knowledge base article if applicable | 3. CSAT survey link included in resolution email | 4. Emails sent within 5 minutes of status change",To Do
US-07,Analytics,VP Customer Success,to see a monthly executive report showing churn rate trend, onboarding completion rate, and MRR at risk,I can present accurate business health metrics to the board without manually compiling data from multiple sources,Must Have,5,"1. Report auto-generated on the 1st of each month | 2. Includes: churn rate (MoM delta), onboarding completion %, open at-risk MRR, avg health score | 3. Report downloadable as PDF | 4. Prior 6 months shown for trend analysis",To Do
US-08,AI Features,Business Analyst / Product Manager,to paste raw customer feedback into the platform and receive structured pain point analysis and draft user stories,I can translate unstructured customer voices into backlog-ready requirements 10x faster than manual analysis,Should Have,8,"1. AI returns structured analysis within 15 seconds | 2. Output includes: sentiment %, ranked pain points, root cause categories, 4-6 draft user stories | 3. Download option available (.txt format) | 4. Analysis clearly labels AI-generated content with 'Review before use' disclaimer",To Do
US-09,AI Features,Business Analyst,to input a business problem statement and automatically generate a BRD excerpt with user stories and UAT test cases,I can produce first-draft requirements artifacts 5x faster and use my time for validation and stakeholder alignment instead of writing from scratch,Should Have,8,"1. Output generated within 20 seconds | 2. BRD excerpt includes: problem statement, objectives, scope, assumptions | 3. Minimum 5 user stories generated in correct Agile format | 4. Minimum 5 UAT test cases in Given/When/Then format | 5. All outputs downloadable",To Do
US-10,Analytics,CSM,to filter the customer dashboard by plan type, region, and industry,I can focus my analysis on the specific customer segment I manage without wading through irrelevant data,Should Have,3,"1. Filter panel visible on dashboard with plan / region / industry dropdowns | 2. All charts and tables update dynamically when filter applied | 3. Active filters shown as removable tags | 4. Filter state persists during session",To Do
US-11,Customer Health,Data Engineer,to have all customer health signals stored in a SQL-accessible schema with a documented data dictionary,I can build reliable data pipelines and support ad-hoc reporting without reverse-engineering undocumented tables,Should Have,5,"1. Schema documented with table name, column name, data type, description, example value | 2. ERD diagram published and versioned in the repository | 3. All foreign key relationships enforced | 4. Data dictionary exported as CSV and PDF",To Do
US-12,Onboarding,CS Director,to receive a weekly automated report on onboarding completion rate by plan type and the top 3 blockers causing delays,I can identify systemic onboarding failures and prioritize product or process fixes accordingly,Could Have,3,"1. Report emailed every Monday 9:00 AM | 2. Shows completion rate by plan (Starter/Growth/Enterprise) | 3. Top 3 blockers ranked by frequency | 4. Trend vs prior 4 weeks included",To Do
US-13,Support,Support Agent,to see all previous tickets for a customer in a single view before responding to a new ticket,I can provide context-aware responses without asking customers to repeat information they have already provided,Could Have,3,"1. Customer ticket history accessible from ticket detail page | 2. History sorted by date descending | 3. Shows: ticket category, priority, resolution time, satisfaction score | 4. Loads in < 2 seconds",To Do
US-14,Analytics,CFO,to see the projected MRR at risk based on current at-risk customer cohort and historical churn rates,I can make informed decisions about CS team resourcing and retention budget allocation,Could Have,5,"1. MRR-at-risk calculated as: sum of MRR for all customers with risk score >= 50 | 2. Displayed as dollar amount and % of total MRR | 3. Historical comparison shows if at-risk MRR is improving or worsening | 4. Updates daily",To Do
US-15,AI Features,Product Manager,to have AI-generated user stories automatically tagged with story points estimate and MoSCoW priority,I can import them into Jira with minimal manual editing,Could Have,3,"1. Story points assigned based on complexity scoring (1/2/3/5/8) | 2. MoSCoW tag applied (Must Have / Should Have / Could Have) | 3. Output formatted for Jira CSV import | 4. Tags are editable before download",To Do
